Date,Open,High,Low,Close,Adj Close,Volume
1972-08-17,20.799999,20.862499,20.662500,20.662500,5.763417,521600
1972-08-18,20.662500,20.825001,20.575001,20.575001,5.739010,497600
1972-08-21,20.575001,20.687500,20.412500,20.525000,5.725067,409600
1972-08-22,20.549999,20.725000,20.549999,20.637501,5.756444,492800
1972-08-23,20.637501,20.700001,20.575001,20.650000,5.759930,292800
1972-08-24,20.650000,20.674999,20.356251,20.362499,5.679739,339200
1972-08-25,20.362499,20.400000,20.275000,20.299999,5.662307,564800
1972-08-28,20.299999,20.375000,20.212500,20.212500,5.637898,396800
1972-08-29,20.212500,20.450001,20.150000,20.437500,5.700656,728000
1972-08-30,20.437500,20.475000,20.350000,20.400000,5.690196,344000
1972-08-31,20.400000,20.462500,20.299999,20.424999,5.697168,441600
1972-09-01,20.424999,20.487499,20.262501,20.312500,5.665791,384000
1972-09-05,20.312500,20.337500,20.225000,20.237499,5.644869,340800
1972-09-06,20.237499,20.275000,20.049999,20.062500,5.596058,352000
1972-09-07,20.062500,20.150000,19.937500,19.975000,5.571651,452800
1972-09-08,19.975000,20.025000,19.937500,19.937500,5.561193,371200
1972-09-11,19.887501,19.887501,19.674999,19.825001,5.529814,428800
1972-09-12,19.825001,19.924999,19.662500,19.750000,5.508893,571200
1972-09-13,19.750000,19.900000,19.662500,19.900000,5.550732,545600
1972-09-14,19.900000,20.025000,19.862499,19.975000,5.571651,371200
1972-09-15,19.975000,20.012501,19.887501,19.887501,5.547246,387200
1972-09-18,19.850000,19.850000,19.700001,19.812500,5.526322,344000
1972-09-19,19.850000,19.962500,19.850000,19.850000,5.536788,384000
1972-09-20,19.850000,20.043751,19.850000,20.025000,5.585598,371200
1972-09-21,20.025000,20.049999,19.924999,19.975000,5.571651,393600
1972-09-22,19.975000,19.987499,19.825001,19.912500,5.554218,465600
1972-09-25,19.912500,19.950001,19.862499,19.912500,5.554218,371200
1972-09-26,19.912500,20.075001,19.900000,19.906250,5.552476,564800
1972-09-27,19.912500,20.350000,19.912500,20.350000,5.676247,793600
1972-09-28,20.287500,20.287500,20.075001,20.212500,5.637898,777600
1972-09-29,20.212500,20.337500,20.174999,20.325001,5.669275,668800
1972-10-02,20.325001,20.337500,20.174999,20.262501,5.651842,483200
1972-10-03,20.262501,20.375000,20.262501,20.337500,5.672765,449600
1972-10-04,20.337500,20.393749,20.162500,20.162500,5.623955,449600
1972-10-05,20.162500,20.174999,19.750000,19.750000,5.508893,739200
1972-10-06,19.750000,20.187500,19.687500,20.075001,5.599547,737600
1972-10-09,20.075001,20.168751,20.000000,20.012501,5.582109,219200
1972-10-10,20.012501,20.150000,19.600000,19.700001,5.494946,1107200
1972-10-11,19.700001,19.712500,19.200001,19.537500,5.449620,2044800
1972-10-12,19.424999,19.424999,19.225000,19.225000,5.362456,1049600
1972-10-13,19.174999,19.174999,18.862499,18.950001,5.285746,1440000
1972-10-16,18.950001,19.000000,18.112499,18.225000,5.083524,1904000
1972-10-17,18.225000,18.600000,18.075001,18.512501,5.163718,2627200
1972-10-18,18.725000,18.987499,18.725000,18.950001,5.285746,1612800
1972-10-19,18.950001,18.962500,18.775000,18.924999,5.278775,811200
1972-10-20,18.924999,19.350000,18.900000,19.350000,5.397321,796800
1972-10-23,19.450001,19.625000,19.450001,19.525000,5.446136,552000
1972-10-24,19.525000,19.525000,19.275000,19.462500,5.428699,548800
1972-10-25,19.437500,19.437500,19.150000,19.174999,5.348503,321600
1972-10-26,19.174999,19.174999,18.850000,18.875000,5.264828,809600
